id,sex,lateral,dorsal,elytral.length,elytral.width,elytral.height,altitude,host.plant,area.lateral,area.dorsal,pattern.area.lateral2,pattern.area.dorsal2,pattern.area.lateral,pattern.area.dorsal
B001,male,0.038822961,0.02230282,6.193620793,4.442524112,2.523972505,1302,lamium_sp,18.357,42.036,0.712673095,0.937521342,0.879495358,0.986899785
B002,female,0.017988509,0.019054837,6.194657223,4.942937771,3.678794159,1302,lamium_sp,31.764,31.658,0.571387,0.60323803,0.407511683,0.843176537
B003,male,0.059335231,0.085746766,5.555368561,4.095872051,2.298973694,1282,scandicinae_sp,13.645,35.29,0.809629227,3.026003372,1.344180323,3.794294396
B006,male,0.02921119,0.010501813,5.253375427,4.052815983,2.467667764,1248,petasites_sp,16.425,29.586,0.479793796,0.310706639,0.661750298,0.464705225
B008,male,0.037695323,0.019542034,5.04784798,3.973079909,2.262860279,1231,petasites_sp,13.05,24.046,0.491923965,0.46990775,0.853949847,0.864735005
B009,male,0.029050099,0.021490824,5.545353897,4.184626698,2.262607116,1226,aconitum_lycoctonum,13.521,31.214,0.392786389,0.67081458,0.658100943,0.950968962
B010,female,0.060033292,0.039463,6.085430701,5.095373433,3.068460112,1245,acer_pseudoplatanus,23.451,34.428,1.407840731,1.358632164,1.359994197,1.74623775
B011,female,0.072329915,0.051534672,6.483579659,5.321708041,2.611824082,1245,allium_or_convallaria,17.82,43.958,1.288919085,2.265361112,1.638561894,2.280409236
B012,female,0.075283252,0.070751908,6.974995182,5.744851894,3.423895742,1216,allium_or_convallaria,32.759,46.915,2.466204052,3.319325764,1.705466791,3.130771929
B013,female,0.052139827,0.042007254,5.571528831,4.527787503,3.664721997,1204,petasites_sp,36.929,36.59,1.925471671,1.537045424,1.181175641,1.85882099
B014,male,0.052193524,0.067179126,6.266526044,4.52976533,2.29246887,1204,petasites_sp,11.192,39.137,0.584149921,2.629189454,1.182392093,2.972676326
B015,female,0.061966386,0.04742056,6.036801265,4.999568134,2.968007449,1204,petasites_sp,23.55,40.029,1.45930839,1.898197596,1.403786508,2.09835978
B016,male,0.028727917,0.019542034,5.542898178,4.397965373,2.495955683,1193,petasites_sp,16.295,73.21,0.468121408,1.430672309,0.650802232,0.864735005
B017,male,0.016807174,0.018838305,5.732136402,4.215850724,2.510191644,1193,petasites_sp,16.178,77.295,0.271906461,1.456106785,0.38074972,0.833594996
B018,male,0.036030715,0.035132355,6.198171594,4.471110437,2.47608429,1193,allium_or_convallaria,16.95,47.064,0.610720619,1.653469156,0.816239818,1.554606709
B019,female,0.021747302,NA,6.749414501,5.367722137,2.804476923,1204,lunaria_redidiva,18.751,NA,0.40778366,NA,0.49266338,NA
B020,male,0.047629276,0.040816327,5.793604679,4.238380974,2.210912159,1204,lunaria_redidiva,10.661,42.465,0.507775711,1.733265326,1.078993619,1.80612247
B033,female,0.062234871,0.040004331,6.343756241,5.143982421,2.525460265,1188,petasites_sp,16.845,44.839,1.048346402,1.793754198,1.409868768,1.770191647
B034,male,0.048810611,0.031397174,5.329170592,4.044084751,2.131525514,1188,petasites_sp,11.702,68.135,0.57118177,2.13924645,1.105755582,1.38932495
B035,female,0.037480535,0.026092134,6.276217482,5.300953286,2.828616114,1188,petasites_sp,17.91,54.495,0.671276382,1.421890842,0.84908404,1.15457693
B036,male,0.04736079,0.031451307,5.588562131,4.261857686,2.554147341,1188,petasites_sp,16.76,38.489,0.79376684,1.210529355,1.072911337,1.391720335
B037,female,0.087257692,0.042602717,6.833786598,5.731667814,3.125183514,1188,petasites_sp,22.654,44.25,1.976735755,1.885170227,1.976735755,1.885170227
B039,female,0.104279654,0.085746766,7.59270478,6.091164123,3.825767521,1188,petasites_sp,34.188,62.134,3.565112811,5.327789559,2.362351282,3.794294396
B040,male,0.037426838,0.021707357,5.194732246,3.942018438,2.404175379,1188,petasites_sp,14.212,32.863,0.531910222,0.713368873,0.847867588,0.960550547
B041,female,0.078934651,0.038272073,7.352859313,6.017313347,2.581940356,1188,petasites_sp,14.836,46.603,1.171074482,1.783593418,1.788185584,1.69353923
B042,female,0.063845782,0.033562497,6.527651121,5.297882937,2.560052812,1188,petasites_sp,14.274,53.688,0.911334692,1.801903339,1.446362345,1.485140492
B043,male,NA,0.012937801,5.380468841,4.15048835,2.351412025,1188,petasites_sp,NA,34.638,NA,0.448139551,NA,0.572497694
B046,male,0.092788487,0.068694852,6.01870136,4.658230206,3.304208546,1156,lunaria_redidiva,30.253,53.267,2.807130097,3.659168681,2.102030384,3.039747201
B047,male,0.022660151,0.021653224,6.266838424,4.619213455,2.11719718,1156,lunaria_redidiva,10.853,50.719,0.245930619,1.098229868,0.513343061,0.958155162
B048,female,0.083498899,0.063822877,6.431611894,5.185405509,NA,1156,lunaria_redidiva,NA,56.709,NA,3.619331532,1.891584058,2.824162307
B061,male,0.043601998,NA,5.619990848,4.085776072,2.474518336,1111,jacobaea_alpina,14.602,NA,0.636676375,NA,0.987759663,NA
B062,male,0.034527198,0.020895361,5.374839201,4.119099445,2.247275423,1111,jacobaea_alpina,12.06,68.649,0.416398008,1.434445637,0.782179143,0.924619724
B063,female,0.067550878,0.062090619,5.738659666,4.874429927,2.369543322,1111,jacobaea_alpina,14.455,43.488,0.976447941,2.700196839,1.53029759,2.747509891
B064,female,0.05589862,0.038380339,5.923310811,5.355476298,3.037532141,1111,jacobaea_alpina,24.236,44.013,1.354758954,1.68923386,1.266327337,1.698330001
B065,male,0.032164528,0.024901207,5.589234517,4.268519818,2.825544938,1111,jacobaea_alpina,20.545,41.338,0.660820228,1.029366095,0.728655217,1.10187841
B066,male,0.053321162,0.050506144,4.925216953,3.732340395,2.293036623,1111,jacobaea_alpina,13.852,35.174,0.738604736,1.776503109,1.207937604,2.234896872
B067,male,0.034258712,0.057759974,5.373436005,4.175956426,2.613001065,1111,jacobaea_alpina,16.376,42.315,0.561020668,2.4441133,0.776096862,2.55587885
B069,male,0.059388928,0.034591025,5.279563191,4.09710772,2.511046469,1111,jacobaea_alpina,17.585,37.233,1.044354299,1.287927634,1.345396775,1.530652856
B071,male,0.037802717,0.028419856,5.994059077,4.53801653,2.617899907,1111,jacobaea_alpina,16.636,47.364,0.628886,1.34607806,0.856382751,1.257578628
B072,female,0.074101917,0.067882856,6.403205927,5.225660126,3.471310992,1111,jacobaea_alpina,32.891,56.084,2.437286152,3.807142096,1.678704828,3.003816378
B073,male,0.029748161,0.04281925,4.760733543,3.554160041,2.300043254,1111,jacobaea_alpina,14.257,35.04,0.424119531,1.50038652,0.673914839,1.894751813
B074,male,0.034205015,0.040491528,5.55636951,4.272795414,2.088049174,1111,jacobaea_alpina,10.128,74.928,0.346428392,3.03394921,0.77488041,1.791750114
B075,male,0.026580035,0.023331348,5.993016205,4.587785855,2.271754537,1106,petasites_sp,12.922,48.291,0.343467212,1.126694126,0.602144113,1.032412149
B076,female,0.013961231,0.015915119,5.820370463,4.674068657,2.651437741,1094,petasites_sp,17.766,79.232,0.24803523,1.260986709,0.316277727,0.704244016
B078,female,0.062664447,0.037405944,6.156091741,4.824478716,3.218267926,1028,caltha_palustris,25.564,50.31,1.601953923,1.881893043,1.419600382,1.655213022
B079,female,0.052247221,0.050776809,5.38001751,3.801872697,2.353695285,1028,caltha_palustris,13.877,69.423,0.725034686,3.525078411,1.183608545,2.246873798
B080,female,0.054770982,0.043631246,6.508093351,5.376018728,3.078972734,1028,allium_or_convallaria,22.086,57.969,1.209671908,2.529259699,1.240781826,1.930682636
B081,female,0.054824679,0.037676609,6.245244375,5.179279323,2.94846276,1028,allium_or_convallaria,20.663,49.201,1.132842342,1.853726839,1.241998278,1.667189948
B082,male,0.047468185,0.034482759,5.707932356,4.078432243,2.446293824,1023,aconitum_lycoctonum,15.782,44.638,0.749142896,1.539241396,1.075344263,1.525862086
B083,female,0.061536809,0.033183565,6.322370879,5.398726783,2.913043289,1023,aconitum_lycoctonum,23.804,50.027,1.464822201,1.660074206,1.394054871,1.468372751
B084,female,0.045320303,0.033291831,6.82332517,5.449468581,2.691488221,998,petasites_sp,18.229,57.154,0.826143803,1.902761309,1.026686144,1.473163522
B085,male,0.038447082,0.021274292,5.450500967,4.011275931,2.468506068,998,petasites_sp,15.42,36.531,0.592854004,0.777171161,0.870980196,0.941387421
B086,male,0.038769264,0.035024089,5.395780561,4.161880478,2.330909243,976,acer_or_scandicinae,14.742,33.41,0.57153649,1.170154813,0.878278907,1.549815938
B087,female,0.039306234,0.016348184,6.356754064,5.236430121,3.294016992,976,acer_or_scandicinae,24.668,49.446,0.96960618,0.808352306,0.890443425,0.723407142
B089,male,0.055039467,0.02495534,5.446566541,4.276223608,2.416774341,976,acer_or_scandicinae,15.359,39.933,0.845351174,0.996541592,1.246864085,1.104273795
B090,male,0.034473501,0.024792941,4.946502299,3.646919944,2.673343235,1133,petasites_sp,17.719,31.013,0.610835964,0.768903479,0.780962692,1.097087639
B091,male,0.038124899,0.032533968,5.11683781,4.024831743,3.144339298,1133,petasites_sp,23.387,40.245,0.891627013,1.309329542,0.863681462,1.439628084
B092,female,0.085378296,0.065988199,6.527027341,5.384926184,2.892364117,977,veratrum_sp,21.748,62.092,1.856807181,4.097339252,1.934159918,2.919977806
B093,male,0.029425979,0.021599091,5.321850778,4.136099266,2.427319828,977,veratrum_sp,14.974,38.104,0.44062461,0.823011763,0.666616128,0.955759777
B094,female,0.024217366,0.025063606,6.394825025,5.04699191,2.729863581,977,veratrum_sp,19.128,57.061,0.463229777,1.430154422,0.548620209,1.109064566
B096,male,0.073457552,0.039246468,6.108395102,4.505425583,2.257766804,873,jacobaea_alpina,21.971,48.767,1.613935875,1.913932505,1.664107383,1.736656209
B097,male,0.037910111,0.020462296,5.932491478,4.556748667,2.280124183,873,jacobaea_alpina,11.663,56.648,0.442145625,1.159148144,0.858815655,0.905456598
B098,male,0.038876658,0.035619553,5.446129817,4.118274701,2.572186793,873,jacobaea_alpina,16.256,37.814,0.631978952,1.346917777,0.88071181,1.57616522
B099,male,0.046609032,0.042927516,5.106987749,3.891923936,2.472757662,873,jacobaea_alpina,14.288,63.538,0.665949849,2.727528512,1.055881011,1.899542583
B100,male,0.031305375,NA,4.849248581,3.627658455,2.832464517,873,jacobaea_alpina,18.159,NA,0.568474305,NA,0.709191965,NA
B101,female,0.062020083,0.021220159,5.694404444,4.816898902,2.793288306,873,jacobaea_alpina,20.096,46.405,1.246355588,0.984721478,1.40500296,0.938992036
B102,male,0.043601998,0.02371028,5.315138937,3.925396319,2.129339224,732,jacobaea_alpina,10.934,43.384,0.476744246,1.028646788,0.987759663,1.04917989
B103,male,0.070396821,0.045038705,5.180400046,3.788313165,2.31382141,732,jacobaea_alpina,13.052,39.749,0.918819308,1.790243485,1.594769583,1.992962696